"scientific.name","common.name","observed.on","location","listing.status","url","date"
"Histrionicus histrionicus","harlequin duck",NA,"Acadia NP--Schoodic Point","state threatened","https://ebird.org/checklist/S125317532",2023-01-03
"Alca torda","razorbill",NA,"Acadia NP--Schoodic Point","state threatened","https://ebird.org/checklist/S125317532",2023-01-03
