"scientific.name","common.name","date","location","url"
"Calluna vulgaris","common heather",2022-11-12,"Acadia National Park, Mount Desert, ME, US","https://www.inaturalist.org/observations/141833857"
"Goodyera pubescens","downy rattlesnake plantain",2022-11-11,"Hancock County, US-ME, US","https://www.inaturalist.org/observations/141797892"
